nr;nume;prenume;sex;localitate;;
1;Sapta;Florian;m;Alba lulia;;
2;Baba;Teodor Nicolae;m;Alba lulia;;
3;Sav;Augustin;m;Câmpeni;;
4;Aldea;Marin Vasile;m;Aiud;;
5;Sărăţean;Dumitru Alexandru;m;Blaj;;
6;Boldas;Liviu Nicolae;m;Sebeş;;
7;Cârja;Ispas;m;Sibiu;;
8;Cruduleci;Horatiu;m;Sibiu;;
9;Marin;Vasile;m;Sibiu;;
10;Tatu;Felician Liviu;m;Sibiu;;
11;Rotaru;Simion;m;Mediaş;;
12;Tudor;Vasile Petru;m;Mediaş;;
13;Scutea;Sorin;m;Agnita;;
14;Nutescu;Constantin Ciprian;m;Sălişte;;
15;Baciu;Traian;m;Hunedoara;;
16;Ifrim;Remus;m;Hunedoara;;
17;Barboni;Eugen;m;Deva;;
18;Benteu;Aron;m;Deva;;
19;Vrabie;Florin Constantin;m;Petroşani;;
20;Popescu (fostă Dumitrache);Emilia;f;Petroşani;;
21;Rovinar;Marin Daniel;m;Brad;;
22;Opris;Ofelia Monica;f;Haţeg;;
23;Oancea;Petru;m;Orăştie;;
24;Fieraru;Eugen;m;Piteşti;;
25;Rada;Ion;m;Piteşti;;
26;Bucescu;Emanoil;m;Piteşti;;
27;Negoescu;Adrian;m;Piteşti;;
28;Ioana;Cristian;m;Piteşti;;
29;Copaci;Vasile;m;Piteşti;;
30;Mitu;Mihai-loan;m;Cîmpulung;;
31;Iordache;Vasile;m;Curtea de Argeş;;
32;Răducă;Constantin;m;Rm. Vâlcea;;
33;Bunescu;Dumitru Teodor;m;Rm. Vâlcea;;
34;Deaconu;Mihai;m;Rm. Vâlcea;;
35;Buzatu;Constantin;m;Rm. Vâlcea;;
36;Gătejescu;Bogdan;m;Rm. Vâlcea;;
37;Condoiu;Florea;dk;Drăgăşani;;
38;Văleanu;Mie;dk;Horezu;;
39;Radu;Marius;m;Brezoi;;
40;Andrei;Ionel;m;Costeşti;;
41;Iordache;Ion;m;Topoloveni;;
42;Vârgă;Ioan;m;Bălceşti;;
43;Grigore;Nicolae;m;Bacău;;
44;Chiticeanu;Florin;m;Bacău;;
45;Ciobanu;Ioan;m;Bacău;;
46;Dăscăliţa;Dumitru;m;Bacău;;
47;Mititelu;Iosif;m;Bacău;;
48;Kovacs;Gabriel;m;Buhuşi;;
49;Popa;Valentin;m;Oneşti;;
50;Băjenaru;Dorin;m;Oneşti;;
